product_id,옵션명,옵션영어명,나이,가격
TC18669194,머드 하우스(3인용 소형욕조) 30인이상 예약시 인당요금,Mud house - group over 30 pax  (small tub 1-3pax),아동,"36,863 원"
TC18669194,머드 하우스(10인용 대형욕조) 30인이상 예약시 인당요금,Mud house - group over 30 pax  (big tub 4-10pax),아동,"36,863 원"
TC18669194,VIP (머드 배스 + 미네랄 허브 배스 + 온수 수영장) - 성인 1인 예약시 인당요금,VIP 1 Adult - Swimming pool,아동,"38,934 원"
TC18669194,VIP (머드 배스 + 미네랄 허브 배스 + 온수 수영장) - 성인 2인 예약시 인당요금,VIP 2 Adult - Swimming Pool,아동,"38,934 원"
TC18669194,머드 하우스(3인용 소형욕조) 1~29인 예약시 인당요금,Mud house - group under 30 pax  (small tub 1-3pax),아동,"38,934 원"
TC18669194,머드 하우스(10인용 대형욕조) 1~29인 예약시 인당요금,Mud house - group under 30 pax  (big tub 4-10pax),아동,"38,934 원"
TC18669194,핫 미네랄 스프링 15인이상 예약시 인당요금,Mineral Spring Bath - Group from 15 pax,아동,"4,970 원"
TC18669194,핫 미네랄 스프링 1~14인 예약시 인당요금,Mineral Spring Bath - Group 1-14 pax,아동,"5,917 원"
TC18669194,머드 하우스(10인용 대형욕조) 30인이상 예약시 인당요금,Mud house - group over 30 pax  (big tub 4-10pax),성인,"51,951 원"
TC18669194,머드 하우스(10인용 대형욕조) 1~29인 예약시 인당요금,Mud house - group under 30 pax  (big tub 4-10pax),성인,"54,910 원"
TC18669194,머드 하우스(3인용 소형욕조) 30인이상 예약시 인당요금,Mud house - group over 30 pax  (small tub 1-3pax),성인,"62,010 원"
TC18669194,머드 하우스(3인용 소형욕조) 1~29인 예약시 인당요금,Mud house - group under 30 pax  (small tub 1-3pax),성인,"65,560 원"
TC18669194,핫 미네랄 스프링 15인이상 예약시 인당요금,Mineral Spring Bath - Group from 15 pax,성인,"8,698 원"
TC18669194,핫 미네랄 허브(3인용 소형욕조) 15인이상 예약시 인당요금,Hot Minerral with Herb group over 15pax( small tub 1- 3pax),아동,"9,231 원"
TC18669194,핫 미네랄 허브(10인용 대형욕조) 15인이상 예약시 인당요금,Hot Minerral with Herb group over 15pax( big tub 4- 10pax),아동,"9,231 원"
TC18669194,핫 미네랄 허브(3인용 소형 욕조) 1~14인 예약시 인당요금,Hot Minerral with Herb group under 15pax( small tub 1- 3pax),아동,"9,645 원"
TC18669194,핫 미네랄 허브(10인용 대형욕조) 1~14인 예약시 인당요금,Hot Minerral with Herb group under 15pax( big tub 4- 10pax),아동,"9,645 원"
TC18669194,핫 미네랄 머드 배스(3인용 소형욕조) 15인이상 예약시 인당요금,Hot Mineral Mud Bath - group over 15 pax ( small tub 1-3 pax),아동,"9,941 원"
TC18669194,핫 미네랄 머드 배스(10인용 대형욕조) 15인이상 예약시 인당요금,Hot Mineral Mud Bath - group over 15 pax ( big tub 4 -10 pax),아동,"9,941 원"
TC19362131,런치뷔페 (All you can eat),All you can eat,아동,"11,716 원"
TC19362131,런치뷔페 (All you can eat),All you can eat,성인,"20,414 원"
TC19362131,씨푸드 디너뷔페,Dinner buffet,아동,"20,710 원"
TC19362131,씨푸드 디너뷔페+랍스터 반마리(인당),Buffet dinner + 1/2 Lobster,아동,"25,147 원"
TC19362131,씨푸드 디너뷔페+랍스터 1마리(인당),Buffet dinner+ 1 Lobster,아동,"29,585 원"
TC19362131,씨푸드 디너뷔페,Dinner buffet,성인,"38,461 원"
TC19362131,씨푸드 디너뷔페 + 랍스터 무제한,Buffet dinner+ Lobster Unlimited,아동,"39,940 원"
